Date,Open,High,Low,Close,Volume
08/09/2016,132.73,132.99,132.23,132.62,"3,013,919"
08/08/2016,132.14,132.95,131.75,132.19,"2,443,769"
08/05/2016,132.21,132.44,131.01,131.73,"3,120,136"
08/04/2016,132.00,132.55,130.96,131.21,"3,009,006"
08/03/2016,131.77,132.45,131.62,131.87,"2,359,275"
08/02/2016,132.95,133.40,131.35,131.60,"3,156,735"
08/01/2016,133.21,134.23,132.70,133.21,"3,067,255"
07/29/2016,133.05,133.80,132.30,133.66,"3,559,058"
07/28/2016,135.40,135.86,132.55,133.01,"5,142,388"
07/27/2016,136.14,139.45,135.71,135.96,"5,660,768"
07/26/2016,132.90,134.97,132.51,134.85,"4,666,989"
07/25/2016,133.18,133.30,132.38,132.94,"3,078,599"
07/22/2016,131.75,133.49,130.57,133.47,"4,844,735"
07/21/2016,134.76,134.98,133.03,133.53,"2,853,331"
07/20/2016,134.55,135.18,134.04,134.72,"2,669,691"
07/19/2016,132.91,135.67,132.83,134.66,"3,390,031"
07/18/2016,132.38,133.89,131.95,133.43,"3,338,398"
07/15/2016,131.80,132.75,131.45,132.39,"2,942,790"
07/14/2016,131.63,131.92,130.20,131.55,"3,980,943"
07/13/2016,131.28,131.39,129.37,130.11,"3,061,397"
07/12/2016,132.80,133.00,130.33,130.81,"4,318,018"
07/11/2016,130.84,133.25,130.80,132.04,"3,929,720"
07/08/2016,128.60,130.46,127.66,130.09,"3,597,622"
07/07/2016,126.92,128.17,126.26,127.17,"3,050,030"
07/06/2016,127.25,127.31,123.96,126.96,"3,981,574"
07/05/2016,128.43,129.00,126.63,126.97,"4,828,971"
07/04/2016,129.69,129.69,129.69,129.69,"0,000"
07/01/2016,129.54,130.34,129.16,129.69,"3,247,885"
06/30/2016,127.08,129.87,127.08,129.87,"4,110,631"
06/29/2016,125.49,127.32,124.16,126.99,"4,916,718"
06/28/2016,124.50,124.76,122.70,123.89,"4,438,083"
06/27/2016,125.68,125.75,122.35,122.70,"6,251,175"
06/24/2016,128.14,129.39,126.21,126.52,"9,706,250"
06/23/2016,133.91,134.55,132.73,133.55,"4,113,796"
06/22/2016,132.10,133.16,131.58,131.77,"2,640,944"
06/21/2016,133.19,133.28,131.49,131.52,"2,841,042"
06/20/2016,131.36,133.90,131.21,132.75,"4,331,887"
06/17/2016,129.83,129.99,128.81,129.82,"6,739,524"
06/16/2016,129.32,129.89,126.90,129.37,"4,066,106"
